team_id,season_id,conference,rank,coach,PTS/G,OppPTS/G,SRS,Pace,ORtg,DRtg,NetRtg,championship_odds,attendace_total,wins,losses
29,2,Western Conference,12,Will Hardy,115.7,120.5,4.22,99.5,115.5,120.4,4.9,+25000,746446,31,51
29,3,Western Conference,12,Will Hardy,117.1,118.0,1.03,100.5,115.8,116.7,0.9,+50000,728240,37,45
29,4,Western Conference,5,Quin Snyder,113.6,107.6,5.67,97.1,116.7,110.5,6.2,+1600,750546,49,33
29,5,Western Conference,1,Quin Snyder,116.4,107.2,8.96,98.5,117.6,108.3,9.3,+4000,151300,52,20
29,6,Western Conference,6,Quin Snyder,111.3,108.8,2.52,98.6,112.3,109.9,2.5,+1300,567486,44,28
29,7,Western Conference,5,Quin Snyder,111.7,106.5,5.28,100.3,110.9,105.7,5.2,+10000,750546,50,32
30,1,Eastern Conference,15,Brian Keefe,108.0,120.4,12.13,100.9,106.8,119.1,12.3,+100000,663691,18,64
30,2,Eastern Conference,14,Wes Unseld,113.7,123.0,9.29,102.7,110.5,119.6,9.0,+50000,692851,15,67
30,3,Eastern Conference,12,Wes Unseld,113.2,114.4,1.06,98.6,114.4,115.6,1.2,+25000,710481,35,47
30,4,Eastern Conference,12,Wes Unseld,108.6,112.0,3.23,97.0,111.1,114.5,3.5,+15000,637215,35,47
30,5,Eastern Conference,8,Scott Brooks,116.6,118.5,1.84,104.1,111.2,113.0,1.7,+10000,19198,34,38
30,6,Eastern Conference,10,Scott Brooks,114.4,119.1,5.24,102.7,110.9,115.5,4.5,+125000,532702,25,47
30,7,Eastern Conference,11,Scott Brooks,114.0,116.9,3.30,101.4,111.1,113.9,2.8,+11000,716996,32,50
